Handle,Title,body_html,Vendor,Type,Tags,Published,Option1,Option1Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,VariantSKU,Variant Grams,Variant Inventory Tracker,VariantQty,VariantPolicy,VariantFulfillmentService,VariantPrice,VariantComparePrice,VariantShipping,VariantTaxable,VariantBarcode,ImageSrc,ImagePosition,ImageAltText,GiftCard,SEOTitle,SEODescription,GoogleShopping,GoogleGender,GoogleAgeGroup,MPN,AdWordsGrouping,Google Shopping / AdWords Labels,GoogleCondition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
14k-White-Gold-Round DIAMOND-Curved-Bar-Necklace-3/4-Cttw,14k White Gold Round Diamond Curved Bar Necklace 3/4 Cttw,Precious Metal Type: 14kt White Gold <br>Approx. Gram Weight: 3.81 <br>Total Gemstone Carat Weight: 3/4 <br>Primary Gem Type: Diamond <br>Primary Gem Shape: Round <br>Primary Gem Color: G-H <br>Primary Gem Clarity: I1-I2 <br>Primary Gem Setting: Pave-set <br>Primary Gem Carat Weight: 0.75 <br>Gem 2 Carat Weight: None <br>Gem 3 Carat Weight: None <br>,gndatlanta,,,TRUE,,,,,,,PC16216NLA/W,,,100,deny,manual,$574.00 ,"$1,274.00 ",TRUE,TRUE,,https://www.gndatlanta.com/product/image/large/c0409207_1.jpg,1,,FALSE,14k White Gold Round Diamond Curved Bar Necklace 3/4 Cttw,,,,,,gndatlanta,,new,,Wholesale Diamonds,,,,,,,,
10k-White-Gold-Round DIAMOND-Horizontal-Cross-Pendant-Necklace-1/10-Cttw,10k White Gold Round Diamond Horizontal Cross Pendant Necklace 1/10 Cttw,Precious Metal Type: 10kt White Gold <br>Approx. Gram Weight: 0.91996 <br>Total Gemstone Carat Weight: 1/10 <br>Primary Gem Type: Diamond <br>Primary Gem Shape: Round <br>Primary Gem Color: G-H <br>Primary Gem Clarity: I2-I3 <br>Primary Gem Setting: Prong-set <br>Primary Gem Carat Weight: 0.1 <br>Gem 2 Carat Weight: None <br>Gem 3 Carat Weight: None <br>,gndatlanta,,API,TRUE,,,,,,,NF073814/W,,,100,deny,manual,$167.00 ,$348.00 ,TRUE,TRUE,,https://www.gndatlanta.com/product/image/large/c0175990_1.jpg,1,,FALSE,10k White Gold Round Diamond Horizontal Cross Pendant Necklace 1/10 Cttw,,,,,,gndatlanta,,new,,Wholesale Diamonds,,,,,,,,
10k-White-Gold-Round DIAMOND-Heart-Necklace-1/8-Cttw,10k White Gold Round Diamond Heart Necklace 1/8 Cttw,Precious Metal Type: 10kt White Gold <br>Approx. Gram Weight: 1.935 <br>Total Gemstone Carat Weight: 1/8 <br>Primary Gem Type: Diamond <br>Primary Gem Shape: Round <br>Primary Gem Color: G-H <br>Primary Gem Clarity: I2-I3 <br>Primary Gem Setting: Pave-set <br>Primary Gem Carat Weight: 0.12 <br>Gem 2 Carat Weight: None <br>Gem 3 Carat Weight: None <br>,gndatlanta,,API,TRUE,,,,,,,NF437/W,,,100,deny,manual,$178.00 ,$373.00 ,TRUE,TRUE,,https://www.gndatlanta.com/product/image/large/c0176032_1.jpg,1,,FALSE,10k White Gold Round Diamond Heart Necklace 1/8 Cttw,,,,,,gndatlanta,,new,,Wholesale Diamonds,,,,,,,,
1/8CT-DIA-TRIPLE-SET-FASHION-NECKLACE-,1/8CT DIAMOND TRIPLE SET FASHION NECKLACE ,Precious Metal Type: Sterling Silver <br>Approx. Gram Weight: 2.6066 <br>Total Gemstone Carat Weight: 1/8 <br>Primary Gem Type: Diamond <br>Primary Gem Shape: Round <br>Primary Gem Color: G-H <br>Primary Gem Clarity: I2-I3 <br>Primary Gem Setting: Bezel-set <br>Primary Gem Carat Weight: 0.12 <br>Gem 2 Carat Weight: None <br>Gem 3 Carat Weight: None <br>,gndatlanta,,API,TRUE,,,,,,,SPC14662NLA/W,,,100,deny,manual,$90.00 ,$173.00 ,TRUE,TRUE,,https://www.gndatlanta.com/product/image/large/c0226811_1.jpg,1,,FALSE,1/8CT-DIA TRIPLE SET FASHION NECKLACE ,,,,,,gndatlanta,,new,,Wholesale Diamonds,,,,,,,,
14k-White-Gold-Round DIAMOND-Triangle-Fashion-Necklace-1/4-Cttw,14k White Gold Round Diamond Triangle Fashion Necklace 1/4 Cttw,Precious Metal Type: 14kt White Gold <br>Approx. Gram Weight: 1.00024 <br>Total Gemstone Carat Weight: 1/4 <br>Primary Gem Type: Diamond <br>Primary Gem Shape: Round <br>Primary Gem Color: G-H <br>Primary Gem Clarity: I1-I2 <br>Primary Gem Setting: Prong-set <br>Primary Gem Carat Weight: 0.25 <br>Gem 2 Carat Weight: None <br>Gem 3 Carat Weight: None <br>,gndatlanta,,API,TRUE,,,,,,,NEOQ6380G/W-14K,,,100,deny,manual,$244.00 ,$524.00 ,TRUE,TRUE,,https://www.gndatlanta.com/product/image/large/c0175929_1.jpg,1,,FALSE,14k White Gold Round Diamond Triangle Fashion Necklace 1/4 Cttw,,,,,,gndatlanta,,new,,Wholesale Diamonds,,,,,,,,
10k-White-Gold-Round DIAMOND-Infinity-Pendant-Necklace-1/6-Cttw,10k White Gold Round Diamond Infinity Pendant Necklace 1/6 Cttw,Precious Metal Type: 10kt White Gold <br>Approx. Gram Weight: 0.755 <br>Total Gemstone Carat Weight: 1/6 <br>Primary Gem Type: Diamond <br>Primary Gem Shape: Round <br>Primary Gem Color: G-H <br>Primary Gem Clarity: I2-I3 <br>Primary Gem Setting: Prong-set <br>Primary Gem Carat Weight: 0.15 <br>Gem 2 Carat Weight: None <br>Gem 3 Carat Weight: None <br>,gndatlanta,,API,TRUE,,,,,,,PF6319/W,,,100,deny,manual,$145.00 ,$299.00 ,TRUE,TRUE,,https://www.gndatlanta.com/product/image/large/c0191263_1.jpg,1,,FALSE,10k White Gold Round Diamond Infinity Pendant Necklace 1/6 Cttw,,,,,,gndatlanta,,new,,Wholesale Diamonds,,,,,,,,
10kt-Yellow-Gold-Round DIAMOND-Moving-Twinkle-Pendant-Necklace-1/5-Cttw,10kt Yellow Gold Round Diamond Moving Twinkle Pendant Necklace 1/5 Cttw,Precious Metal Type: 10kt Yellow Gold <br>Approx. Gram Weight: 3.002 <br>Total Gemstone Carat Weight: 1/5 <br>Primary Gem Type: Diamond <br>Primary Gem Shape: Round <br>Primary Gem Color: G-H <br>Primary Gem Clarity: I2 <br>Primary Gem Setting: Prong-set <br>Primary Gem Carat Weight: 0.14 <br>Gem2 Type: Diamond <br>Gem2 Shape: Round <br>Gem2 Color: G-H <br>Gem2 Clarity: I2 <br>Gem2 Setting: 4-prong <br>Gem 2 Carat Weight: 0.06 <br>Gem 3 Carat Weight: None <br>,gndatlanta,,API,TRUE,,,,,,,NF020470,,,100,deny,manual,$272.00 ,$588.00 ,TRUE,TRUE,,https://www.gndatlanta.com/product/image/large/c0175983_1.jpg,1,,FALSE,10kt Yellow Gold Round Diamond Moving Twinkle Pendant Necklace 1/5 Cttw,,,,,,gndatlanta,,new,,Wholesale Diamonds,,,,,,,,
10k-White-Gold-Round DIAMOND-Infinity-Pendant-Necklace-1/8-Cttw,10k White Gold Round Diamond Infinity Pendant Necklace 1/8 Cttw,Precious Metal Type: 10kt White Gold <br>Approx. Gram Weight: 1.183 <br>Total Gemstone Carat Weight: 1/8 <br>Primary Gem Type: Diamond <br>Primary Gem Shape: Round <br>Primary Gem Color: G-H <br>Primary Gem Clarity: I2-I3 <br>Primary Gem Setting: Pave-set <br>Primary Gem Carat Weight: 0.12 <br>Gem 2 Carat Weight: None <br>Gem 3 Carat Weight: None <br>,gndatlanta,,API,TRUE,,,,,,,PF6326/W,,,100,deny,manual,$167.00 ,$348.00 ,TRUE,TRUE,,https://www.gndatlanta.com/product/image/large/c0191267_1.jpg,1,,FALSE,10k White Gold Round Diamond Infinity Pendant Necklace 1/8 Cttw,,,,,,gndatlanta,,new,,Wholesale Diamonds,,,,,,,,
10k-Yellow-Gold-Round DIAMOND-Double-Circle-Necklace-1/6-Cttw,10k Yellow Gold Round Diamond Double Circle Necklace 1/6 Cttw,Precious Metal Type: 10kt Yellow Gold <br>Approx. Gram Weight: 0.96 <br>Total Gemstone Carat Weight: 1/6 <br>Primary Gem Type: Diamond <br>Primary Gem Shape: Round <br>Primary Gem Color: G-H <br>Primary Gem Clarity: I2-I3 <br>Primary Gem Setting: Prong-set <br>Primary Gem Carat Weight: 0.15 <br>Gem 2 Carat Weight: None <br>Gem 3 Carat Weight: None <br>,gndatlanta,,API,TRUE,,,,,,,NF0882,,,100,deny,manual,$167.00 ,$348.00 ,TRUE,TRUE,,https://www.gndatlanta.com/product/image/large/c0406175_2.jpg,1,,FALSE,10k Yellow Gold Round Diamond Double Circle Necklace 1/6 Cttw,,,,,,gndatlanta,,new,,Wholesale Diamonds,,,,,,,,
10k-Yellow-Gold-Round DIAMOND-Double-Circle-Necklace-1/6-Cttw,,,,,API,,,,,,,,,,,,,,,,,,,https://www.gndatlanta.com/product/image/large/c0406175_1.jpg,,,,,,,,,,,,new,,,,,,,,,,
